id,name,description
429,Apache Subversion (SVN) Server on Ubuntu 18.04 LTS,AWS Marketplace
430,Apache Torque,Object-Oriented Databases
431,Apache Trafodion,Database Management Systems (DBMS)
432,Apache Unomi,Customer Data Platform (CDP)
433,Apache Usergrid,Mobile Backend-as-a-Service (mBaaS)
434,Apache Web Server for CentOS 8,AWS Marketplace
435,Apache Websh,"Low-Code Development Platforms, Application Development Platforms"
436,Apache Xalan,XML Databases
437,Apache Zeppelin,Other Integrated Development Environments (IDE)
438,Apeaksoft iPhone Data Recovery,File Recovery
439,Apeaksoft iPhone Eraser,"Mobile Data Security, Data Destruction"
440,Aperture by Palo Alto Networks  for G Suite,Google Workspace Administration
441,ApexSQL,"Database Management Systems (DBMS), Relational Databases"
442,Apideck Ecosystem,"Enterprise App Store, Partner Management"
443,Apideck Unify,"Unified APIs, Financial Data APIs, Embedded Integration Platforms"
444,Apify,"Proxy Network, Data Extraction, Robotic Process Automation (RPA), Lead Mining"
445,Apify Custom Web Scraping \u0026 RPA Solutions,Data Extraction Services
446,Apigee API Management,API Management
447,Apigee Open Banking APIx,Financial Data APIs
448,Aplynk,On-Premise Data Integration
449,Apollo Platform,Construction Data Analytics
450,Apono,Identity and Access Management (IAM)
451,Aporia,MLOps Platforms
452,AppGini - web database applications in minutes,Other Mobile Development
453,AppMaster.io,"Workplace Innovation Platforms, Digital Process Automation (DPA), API Design, API Management, WYSIWYG Editors, Drag and Drop App Builder, Application Development Platforms, No-Code Development Platforms"
454,AppNexus Marketplace,Supply Side Platform (SSP)
455,AppOmni,"Cloud Security Monitoring and Analytics, SaaS Security Posture Management (SSPM) Solutions"
456,AppSealing,"Application Shielding, Runtime Application Self-Protection (RASP), Mobile Data Security, IoT Security Solutions"
457,Apparity,"IT Risk Management, Data Governance"
458,Appdome,"Application Shielding, Runtime Application Self-Protection (RASP), No-Code Development Platforms, Mobile Data Security, Fraud Detection, Bot Detection and Mitigation, Click Fraud"
459,Appen,"Machine Learning Data Catalog, Data Labeling"
460,Appflow.ai,"Subscription Analytics, Mobile App Analytics"
461,Appgate SDP,"OT Secure Remote Access, Software-Defined Perimeter (SDP), Zero Trust Networking, Data Center Security Solutions, Network Access Control (NAC), IoT Security Solutions, Risk-Based Authentication (RBA)"
462,Appify,"Mobile Forms Automation, No-Code Development Platforms, Drag and Drop App Builder, Field Service Management, Workplace Innovation Platforms"
463,Applied,"Diversity Recruiting, Applicant Tracking Systems (ATS)"
464,Apporio Infolabs,Mobile App Development
465,Appranix Cloud Application Resilience,"Data Replication, Disaster Recovery, Database Backup, Server Backup, SaaS Backup, IT Resilience Orchestration Automation (ITRO), Disaster Recovery as a Service (DRaaS)"
466,Appriss Safety,Public Safety
467,Apps4Rent,Cloud Hosting
468,AppsFlyer,"Mobile Attribution, Click Fraud, Mobile App Analytics, Mobile App Optimization, Mobile Marketing, Data Clean Room"
469,Appsembler Tahoe LMS,"Online Learning Platform, Corporate Learning Management Systems"
470,Apptio Cloudability,"Cloud Cost Management, Cloud Management Platforms"
471,Apptopia,"Digital Advertising Intelligence, Mobile App Analytics, Competitive Intelligence, App Store Optimization"
472,Apriva Payments,Payment Processing
473,Aptean Industrial Manufacturing ERP Traverse Edition,"Accounting, Business Process Management, Inventory Management, Warehouse Management"
474,Apteco Orbit,"Marketing Analytics, Digital Analytics"
475,Aptitude Accounting Hub,Accounting
476,Apto Solutions,Data Destruction
477,Aptum,Managed Services
478,Apty,"Digital Adoption Platform, Customer Self-Service"
479,Aqua Data Studio,"Statistical Analysis, Database Management Systems (DBMS), SQL Integrated Development Environments (IDE), Database Comparison"
480,Aquant Service Insights,"Contact Center Workforce, Predictive Analytics"
481,ArangoDB,"Database as a Service (DBaaS), Key Value Databases, Document Databases, Graph Databases, Enterprise Search Software"
482,Araqich,Order Management
483,Aras Innovator,"Product Data Management (PDM), PLM, Engineering Document Management"
484,ArcGIS API for JavaScript,Other Development
485,ArcGIS API for Python,Python Web Frameworks
486,ArcGIS Business Analyst,Location Intelligence
487,ArcGIS Data Interoperability,Data Management Suites
488,ArcGIS Data Reviewer,"Data Quality, Product Data Management (PDM)"
489,ArcGIS Desktop,GIS
490,ArcGIS Experience Builder,"No-Code Development Platforms, Drag and Drop App Builder, GIS, Application Development Platforms"
491,ArcGIS Full Motion Video,Other Video
492,ArcGIS Hub,Citizen Engagement
493,ArcGIS Image Server,Other Analytics
494,ArcGIS Insights,Location Intelligence
495,ArcGIS Pipeline Referencing,"Oil and Gas Asset Management, Location Intelligence"
496,ArcGIS Pro,"Location Intelligence, GIS"
497,ArcGIS Roads and Highways,GIS
498,ArcGIS Runtime SDK for .NET,"Mobile Development Platforms, Application Development Platforms"
499,ArcGIS Runtime SDK for Java,"Mobile Development Platforms, Application Development Platforms"
500,ArcGIS Runtime SDK for iOS,"Mobile Development Platforms, Application Development Platforms"
501,ArcGIS Survey123,"Survey, Mobile Forms Automation"
502,ArcGIS for Office,"Digital Wayfinding, GIS, Location Intelligence"
503,ArcSurvey,Survey
504,Arcade Analytics,Data Visualization
505,Arcadia Enterprise,Big Data Analytics
506,ArchiGraph platform,Graph Databases
507,Archie.AI,Chatbots
508,Archiware P5 Archive,Enterprise Information Archiving
509,Archlet,"SAP Store, Strategic Sourcing"
510,Arcserve UDP,"Disaster Recovery, Database Backup, Online Backup, Server Backup, File Recovery, SaaS Backup"
511,Arcserve UDP Cloud Direct,Disaster Recovery as a Service (DRaaS)
512,Ardoq,"Enterprise Architecture Tools, Application Portfolio Management, Strategy and Innovation Roadmapping Tools, Data Visualization"
513,Arena Calibrate,"Marketing Analytics, Data Management Platform (DMP), Content Analytics, Social Media Analytics, Digital Advertising Intelligence, Analytics Platforms, Predictive Analytics, E-Commerce Analytics"
514,Arena.im,"Live Blog, Live Stream, Content Distribution, Customer Data Platform (CDP), Live Chat, Communication Platform as a Service"
515,Argos™ Threat Intelligence Platform,"Dark Web Monitoring, Risk-Based Vulnerability Management, Brand Protection, Threat Intelligence, Attack Surface Management"
516,Aricent Agile Datacenter Network,Data Center Networking
517,Arimo Dashboards,Data Visualization
518,Arista EOS,Operating System
519,Arista Networks,Data Center Networking
520,AristotleInsight,Data-Centric Security
521,Aritic Mail,Transactional Email
522,Aritic Swarm,Business Instant Messaging
523,AroundDeal,"Marketing Account Intelligence, Market Intelligence, Lead Mining, Lead Capture, Sales Intelligence, Lead Intelligence"
524,Arrcus Hybrid Cloud,Data Center Networking
525,Arria,Natural Language Generation (NLG)
526,Arrow Electronics,"Oracle Cloud Application Resellers, Oracle Database Resellers, Oracle Primavera Resellers"
527,Artemis,Healthcare Analytics
528,Article Galaxy Enterprise,Reference Management
529,Artlogic,"Gallery Management, Collections Management"
530,ArtworkFlow,"Display Ad Design, Online Proofing, Digital Asset Management, Creative Portfolio Management, Design Systems"
531,Aruba AirWave,"Network Monitoring, Network Management Tools"
532,Aruba Analytics and Location Engine,Visitor Behavior Intelligence
533,Arvia,"Business Instant Messaging, Screen Sharing, Video Conferencing, Social Commerce Platforms, Live Commerce"
534,Arxspan,"Electronic Lab Notebook (ELN), LIMS, Scientific Data Management System (SDMS)"
535,Aryson Hotmail Backup Tool,Email Backup
536,Aryson Yahoo Backup Tool,File Migration
537,Ascend Lead Sites,"Real Estate Marketing, Real Estate CRM"
538,Ascend Technologies,"Managed Services, Data Governance Services, Managed Security Services (MSSP), Endpoint Security Services, Vulnerability Assessment Services, Network Security Services, Incident Response Services, Contact Center Consulting, Contact Center Outsourcing Services, Salesforce Channel Partners, Microsoft Channel Partners, Amazon Web Services Channel Partners, Cloud Migration Services, Cloud Consulting, IT Infrastructure Consulting, Salesforce Consulting Services, Microsoft Consulting Services"
539,Ascendance,"Education ERP Suites, K-12 Student Information Systems, Education Finance Software, Admissions and Enrollment Management"
540,Ashampoo WinOptimizer,Data Destruction
541,Asigra Tigris Backup,"Online Backup, File Recovery, SaaS Backup, Server Backup, Disaster Recovery, Backup Solution Suites"
542,Askdata for SAP HANA,"Enterprise Search Software, SAP Store"
543,Askuity,Other Construction
544,Aspect,Talent Intelligence
545,Aspectum,Location Intelligence
546,Aspen InfoPlus.21,Oil Production
547,Aspen SIS,K-12 Student Information Systems
548,Assemble,"Autodesk Construction Cloud Integration Partners, Construction Estimating, Construction Drawing Management, Construction Data Analytics"
549,Assembly,Financial Data APIs
550,Assembly Trialworks,Legal Case Management
551,Asset Data Manager,CRM
552,AssetFuture,Asset Performance Management
553,Assure QuickEDD,"Disaster Recovery, Data De-Identification"
554,Assure Security,"Data-Centric Security, Data Masking, Database Security, Multi-Factor Authentication (MFA), Data De-Identification"
555,Astera Centerprise,"On-Premise Data Integration, Data Mapping, ETL Tools"
556,Astra Pentest,"Dynamic Application Security Testing (DAST), Penetration Testing, Vulnerability Scanner, Vulnerability Management"
557,AstraChat - Direct XMPP Client,Business Instant Messaging
558,Astrea IT Services,"IT Outsourcing, Salesforce Consulting Services"
559,Astrella,"Equity Management, Venture Capital Management"
560,Astro by Astronomer,"DataOps Platforms, Data Fabric, Big Data Integration Platforms, Workload Automation"
561,Asurint Background Screening Solutions,"Background Check, Drug Testing"
562,AtData,"Email Verification, E-commerce Fraud Protection, Identity Resolution"
563,Ataccama One,"Data Governance, Machine Learning Data Catalog, Big Data Integration Platforms, Master Data Management (MDM), Data Quality, Active Metadata Management"
564,Athenian,Software Development Analytics Tools
565,Athenic AI,Other Analytics
566,Athennian,Entity Management
567,Athenta DCEYE,Data Center Infrastructure Management (DCIM)
568,Atlan,"Active Metadata Management, DataOps Platforms, Data Fabric, Data Governance, Machine Learning Data Catalog, Data Quality"
569,Atlas,"On-Premise Data Integration, Multi-Country Payroll, Global Employment Platforms (GEP), Employer of Record (EOR)"
570,Atlas Solutions,"Cross-Channel Advertising, Social Media Advertising, Display Advertising, Mobile Advertising"
571,Atlasopen,Software Developer Services
572,Atlassian Data Center,Data Center Infrastructure Management (DCIM)
573,Atomli,Demand Planning
574,AttendHRM Payroll,Payroll
575,Attendays HR Management Suite,Time \\u0026 Attendance
576,Attention Insight,Heatmap Tools
577,AudiencePlus,"Content Distribution, Owned Media"
578,Audiences by Tr.im,"URL Shortener, Retargeting, Digital Analytics"
579,AuditBoard,"Security Compliance, Enterprise Risk Management (ERM), Third Party \\u0026 Supplier Risk Management, Regulatory Change Management, Audit Management, IT Risk Management, Environmental, Social, and Governance (ESG) Reporting"
580,AuditRunner,"Data Privacy Management, Enterprise Risk Management (ERM), Operational Risk Management, Business Continuity Management, Regulatory Change Management, Audit Management, Quality Management (QMS), Data Subject Access Request (DSAR)"
581,Audits,Tools for ERP
582,Augusta,"Drug Discovery, Healthcare Analytics"
583,Aumni,"Financial Analytics, Venture Capital Management"
584,Aurigo Masterworks Cloud,"Capital Project Management, Construction Estimating, Construction Data Analytics, Construction Project Management"
585,AuroCRM,CRM
586,Auth0,"Customer Identity and Access Management (CIAM), Multi-Factor Authentication (MFA), Identity and Access Management (IAM), User Provisioning and Governance Tools, Single Sign-On (SSO), Risk-Based Authentication (RBA)"
587,Auto Backup Software,Server Backup
588,Auto-Update for Jamf,Mobile Device Management (MDM)
589,Auto/Mate,Car Dealer
590,AutoEntry,Other Finance \\u0026 Admin.
591,AutoMatch,Insurance Claims Management
592,AutoRABIT,"Continuous Integration, DevOps Platforms, Continuous Delivery"
593,AutoRek,Financial Close
594,AutoVue,Help Authoring Tool (HAT)
595,Autodesk Digital Twin,Digital Twin
596,Autodesk Fusion 360 Manage with Upchain,"PLM, Product Data Management (PDM)"
597,Autodesk Insight,Energy Management
598,Autodesk Map 3D,GIS
599,Autodesk Vault,"Product Data Management (PDM), Engineering Document Management"
600,Automation Anywhere Process Discovery,"Process Mining, SAP Store"
601,Avanan Cloud Email Security,"Intelligent Email Protection, Cloud File Security, Cloud Email Security, Email Anti-spam, Email Encryption, Data Loss Prevention (DLP)"
602,Avast Business Cloud Backup,Online Backup
603,Avaya UCaaS,"VoIP, Video Conferencing, Business Instant Messaging, UCaaS Platforms"
604,AvePDF,Document Creation
605,AvePoint Cloud Governance and Automation for Microsoft Office 365,"Office 365 Management, Data Governance, ServiceNow Store Apps, User Provisioning and Governance Tools, SaaS Operations Management"
606,AvePoint Compliance Guardian,"Data De-Identification, IT Risk Management, Privacy Impact Assessment (PIA)"
607,Avenue,"Digital Process Automation (DPA), Business Process Management, Database Monitoring"
608,AverickMedia,Sales Intelligence
609,Avetta,"SAP Store, Contractor Management, Supplier Relationship Management (SRM), Third Party \\u0026 Supplier Risk Management, Environmental, Social, and Governance (ESG) Reporting"
